Date,Start Time,End Time,Hours,Work,Week,,,Total Hours Worked
07/10/25,10:00:00 AM,1:00:00 PM,3,Basic Backend,1,,,372
08/10/25,10:00:00 AM,1:00:00 PM,3,Basic Backend,,,,
09/10/25,10:00:00 AM,1:00:00 PM,3,Basic Backend,,,,
10/10/25,10:00:00 AM,1:00:00 PM,3,Main Front end,,,,
11/10/25,1:00:00 PM,4:00:00 PM,3,Main Front end,,,,
12/10/25,1:00:00 PM,4:00:00 PM,3,Main Front end,,,,
13/10/25,10:00:00 AM,1:00:00 PM,3,Main Front end,2,,,
14/10/25,10:00:00 AM,1:00:00 PM,3,Main Front end,,,,
15/10/25,10:00:00 AM,1:00:00 PM,3,Database setup,,,,
16/10/25,10:00:00 AM,1:00:00 PM,3,Database setup,,,,
17/10/25,10:00:00 AM,1:00:00 PM,3,Database connection,,,,
20/10/25,10:00:00 AM,1:00:00 PM,3,Database connection,3,,,
21/10/25,10:00:00 AM,1:00:00 PM,3,Database connection,,,,
22/10/25,10:00:00 AM,1:00:00 PM,3,Database connection,,,,
23/10/25,10:00:00 AM,1:00:00 PM,3,Database integration,,,,
24/10/25,10:00:00 AM,1:00:00 PM,3,Database integration,,,,
25/10/25,1:00:00 PM,4:00:00 PM,3,Database integration,,,,
27/10/25,10:00:00 AM,1:00:00 PM,3,Database integration,4,,,
28/10/25,10:00:00 AM,1:00:00 PM,3,Database integration,,,,
29/10/25,10:00:00 AM,1:00:00 PM,3,Source Research,,,,
30/10/25,10:00:00 AM,1:00:00 PM,3,Source Research,,,,
31/10/25,10:00:00 AM,5:00:00 PM,7,Source Research,,,,
03/11/25,10:00:00 AM,5:00:00 PM,7,USPTO Document Study,5,,,
04/11/25,10:00:00 AM,5:00:00 PM,7,USPTO Document Study,,,,
05/11/25,10:00:00 AM,5:00:00 PM,7,USPTO Document Study,,,,
06/11/25,10:00:00 AM,5:00:00 PM,7,USPTO API tests,,,,
07/11/25,10:00:00 AM,5:00:00 PM,7,USPTO API tests,,,,
08/11/25,10:00:00 AM,5:00:00 PM,7,USPTO API tests,,,,
09/11/25,12:00:00 PM,5:00:00 PM,5,USPTO functions,,,,
10/11/25,10:00:00 AM,5:00:00 PM,7,USPTO functions,6,,,
11/11/25,10:00:00 AM,5:00:00 PM,7,USPTO functions,,,,
12/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,,,,
13/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,,,,
14/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,,,,
16/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,,,,
17/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,7,,,
18/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,,,,
19/11/25,10:00:00 AM,5:00:00 PM,7,USPTO source integration,,,,
20/11/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,,,,
24/11/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,8,,,
25/11/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,,,,
26/11/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,,,,
27/11/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,,,,
28/11/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,,,,
01/12/25,10:00:00 AM,5:00:00 PM,7,Patent fetching from USPTO,9,,,
02/12/25,10:00:00 AM,5:00:00 PM,7,Similarity Analysis Flow,,,,
03/12/25,10:00:00 AM,5:00:00 PM,7,Similarity Analysis Flow,,,,
04/12/25,10:00:00 AM,5:00:00 PM,7,Similarity Analysis Flow,,,,
05/12/25,10:00:00 AM,5:00:00 PM,7,Similarity Analysis Flow,,,,
08/12/25,10:00:00 AM,5:00:00 PM,7,Similarity Analysis Flow,10,,,
09/12/25,10:00:00 AM,5:00:00 PM,7,Report and Summary Analysis Flow,,,,
10/12/25,10:00:00 AM,5:00:00 PM,7,Report and Summary Analysis Flow,,,,
11/12/25,10:00:00 AM,5:00:00 PM,7,Report and Summary Analysis Flow,,,,
12/12/25,10:00:00 AM,5:00:00 PM,7,Report and Summary Analysis Flow,,,,
15/12/25,10:00:00 AM,5:00:00 PM,7,Firebase Connection String Debugging,11,,,
16/12/25,10:00:00 AM,5:00:00 PM,7,Preparations for Fixathon,,,,
17/12/25,10:00:00 AM,5:00:00 PM,7,Preparations for Fixathon,,,,
19/12/25,10:00:00 AM,8:00:00 PM,10,Fixathon + Alternate infringement detection using gemini in agentic setting,,,,
22/12/25,10:00:00 AM,5:00:00 PM,7,Fixathon Analysis + Gemini based agentic infringement demo,12,,,
23/12/25,10:00:00 AM,5:00:00 PM,7,Fixathon BugFixes and Further Development,,,,
24/12/25,10:00:00 AM,5:00:00 PM,7,First new version Deployment,,,,
28/12/25,10:00:00 AM,5:00:00 PM,7,Altering Add-patent flow for new version,13,,,
29/12/25,10:00:00 AM,5:00:00 PM,7,Adding verifications to add-patent data entry,,,,
30/12/25,10:00:00 AM,5:00:00 PM,7,Improving layouts and functions for add-patent flow,,,,
31/12/25,10:00:00 AM,5:00:00 PM,7,Improving layouts and functions for add-patent flow,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,
,,,0,,,,,